PID		Action					Type				Time						Allocated space			Entered
1		Memory  allocation  	Allocation  		Mon May 23 23:51:49 2022		128					1
1		Memory  allocation  	Allocation  		Mon May 23 23:52:29 2022		16					1
2		Memory  allocation  	Allocation  		Mon May 23 23:52:34 2022		160					1
1		Memory  deallocation	Deallocation		Mon May 23 23:52:34 2022		16					1
3		Memory  allocation  	Allocation  		Mon May 23 23:52:38 2022		144					1
2		Memory  deallocation	Deallocation		Mon May 23 23:52:40 2022		160					1
4		Denying allocation  		Allocation  		Mon May 23 23:52:42 2022		176					0
3		Memory  deallocation	Deallocation		Mon May 23 23:52:43 2022		144					1
5		Memory  allocation  	Allocation  		Mon May 23 23:52:46 2022		112					1
5		Memory  deallocation	Deallocation		Mon May 23 23:52:48 2022		112					1
6		Memory  allocation  	Allocation  		Mon May 23 23:52:52 2022		96					1
7		Memory  allocation  	Allocation  		Mon May 23 23:52:58 2022		192					1
6		Memory  deallocation	Deallocation		Mon May 23 23:52:58 2022		96					1
7		Memory  deallocation	Deallocation		Mon May 23 23:53:01 2022		192					1
8		Memory  allocation  	Allocation  		Mon May 23 23:53:02 2022		96					1
8		Memory  deallocation	Deallocation		Mon May 23 23:53:04 2022		96					1
1		Memory  allocation  	Allocation  		Mon May 23 23:54:29 2022		96					1
1		Memory  deallocation	Deallocation		Mon May 23 23:54:32 2022		96					1
2		Memory  allocation  	Allocation  		Mon May 23 23:54:32 2022		32					1
2		Memory  deallocation	Deallocation		Mon May 23 23:54:36 2022		32					1
3		Memory  allocation  	Allocation  		Mon May 23 23:54:38 2022		32					1
4		Memory  allocation  	Allocation  		Mon May 23 23:54:43 2022		80					1
3		Memory  deallocation	Deallocation		Mon May 23 23:54:44 2022		32					1
5		Memory  allocation  	Allocation  		Mon May 23 23:54:48 2022		128					1
4		Memory  deallocation	Deallocation		Mon May 23 23:54:49 2022		80					1
5		Memory  deallocation	Deallocation		Mon May 23 23:54:52 2022		128					1
6		Memory  allocation  	Allocation  		Mon May 23 23:54:53 2022		128					1
6		Memory  deallocation	Deallocation		Mon May 23 23:54:55 2022		128					1
7		Memory  allocation  	Allocation  		Mon May 23 23:54:59 2022		112					1
7		Memory  deallocation	Deallocation		Mon May 23 23:55:02 2022		112					1
8		Memory  allocation  	Allocation  		Mon May 23 23:55:05 2022		128					1
9		Memory  allocation  	Allocation  		Mon May 23 23:55:10 2022		64					1
8		Memory  deallocation	Deallocation		Mon May 23 23:55:10 2022		128					1
1		Memory  allocation  	Allocation  		Tue May 24 17:16:29 2022		32					1
1		Memory  deallocation	Deallocation		Tue May 24 17:16:32 2022		32					1
1		Memory  allocation  	Allocation  		Tue May 24 17:25:24 2022		144					1
1		Memory  deallocation	Deallocation		Tue May 24 17:25:28 2022		144					1
2		Memory  allocation  	Allocation  		Tue May 24 17:25:30 2022		48					1
2		Memory  deallocation	Deallocation		Tue May 24 17:25:34 2022		48					1
3		Memory  allocation  	Allocation  		Tue May 24 17:25:36 2022		64					1
1		Memory  allocation  	Allocation  		Tue May 24 17:26:08 2022		48					1
2		Memory  allocation  	Allocation  		Tue May 24 17:26:12 2022		48					1
1		Memory  deallocation	Deallocation		Tue May 24 17:26:14 2022		48					1
2		Memory  deallocation	Deallocation		Tue May 24 17:26:15 2022		48					1
3		Memory  allocation  	Allocation  		Tue May 24 17:26:17 2022		112					1
4		Memory  allocation  	Allocation  		Tue May 24 17:26:20 2022		112					1
3		Memory  deallocation	Deallocation		Tue May 24 17:26:22 2022		112					1
4		Memory  deallocation	Deallocation		Tue May 24 17:26:23 2022		112					1
1		Memory  allocation  	Allocation  		Tue May 24 17:30:38 2022		80					1
1		Memory  deallocation	Deallocation		Tue May 24 17:30:42 2022		80					1
2		Memory  allocation  	Allocation  		Tue May 24 17:30:44 2022		96					1
2		Memory  deallocation	Deallocation		Tue May 24 17:30:46 2022		96					1
3		Memory  allocation  	Allocation  		Tue May 24 17:30:49 2022		16					1
3		Memory  deallocation	Deallocation		Tue May 24 17:30:54 2022		16					1
4		Memory  allocation  	Allocation  		Tue May 24 17:30:55 2022		192					1
4		Memory  deallocation	Deallocation		Tue May 24 17:30:57 2022		192					1
5		Memory  allocation  	Allocation  		Tue May 24 17:30:59 2022		128					1
6		Memory  allocation  	Allocation  		Tue May 24 17:31:04 2022		80					1
5		Memory  deallocation	Deallocation		Tue May 24 17:31:05 2022		128					1
6		Memory  deallocation	Deallocation		Tue May 24 17:31:10 2022		80					1
1		Memory  allocation  	Allocation  		Tue May 24 17:32:56 2022		96					1
